dealer,player,handtype,action,Q-value
4, 20, 0, 0, 5315.906151461147
4, 20, 0, 1, 3397.1244899277053
4, 20, 1, 0, 5288.808936935212
4, 20, 1, 1, -72.6634128535833
4, 21, 0, 0, 6221.37154447908
4, 21, 0, 1, 2193.8535960205213
4, 21, 1, 0, 700.0
4, 21, 1, 1, 0.0
4, 22, 0, 0, -100.0
4, 22, 0, 1, -100.0
4, 22, 1, 0, -100.0
4, 22, 1, 1, -100.0
5, 0, 0, 0, 0.0
5, 0, 0, 1, 0.0
5, 0, 1, 0, 0.0
5, 0, 1, 1, 0.0
5, 1, 0, 0, 0.0
5, 1, 0, 1, 0.0
5, 1, 1, 0, 0.0
5, 1, 1, 1, 0.0
5, 2, 0, 0, 0.0
5, 2, 0, 1, 0.0
5, 2, 1, 0, 0.0
5, 2, 1, 1, 0.0
5, 3, 0, 0, 0.0
5, 3, 0, 1, 0.0
5, 3, 1, 0, 0.0
5, 3, 1, 1, 0.0
5, 4, 0, 0, 0.0
5, 4, 0, 1, 0.0
5, 4, 1, 0, 2165.8823102093093
5, 4, 1, 1, 2263.2849592954053
5, 5, 0, 0, 0.0
5, 5, 0, 1, 0.0
5, 5, 1, 0, 2361.1846810731527
5, 5, 1, 1, 2276.8426180797496
5, 6, 0, 0, 0.0
5, 6, 0, 1, 0.0
5, 6, 1, 0, 2322.099672067374
5, 6, 1, 1, 2273.0508196485644
5, 7, 0, 0, 0.0
5, 7, 0, 1, 0.0
5, 7, 1, 0, 2305.2755473059065
5, 7, 1, 1, 2317.147787198769
5, 8, 0, 0, 0.0
5, 8, 0, 1, 0.0
5, 8, 1, 0, 2598.491482043468
5, 8, 1, 1, 2628.481975728335
5, 9, 0, 0, 0.0
5, 9, 0, 1, 0.0
5, 9, 1, 0, 2884.9155510433848
5, 9, 1, 1, 2972.871965191831
5, 10, 0, 0, 0.0
5, 10, 0, 1, 0.0
5, 10, 1, 0, 3356.9515555993385
5, 10, 1, 1, 3441.2356277999556
5, 11, 0, 0, 0.0
5, 11, 0, 1, 0.0
5, 11, 1, 0, 2312.7478780109727
5, 11, 1, 1, 2205.390928390399
5, 12, 0, 0, 2833.2073069217545
5, 12, 0, 1, 3036.2139002702074
5, 12, 1, 0, 2358.4799794662413
5, 12, 1, 1, 1736.7664295994678
5, 13, 0, 0, 2931.758892306815
5, 13, 0, 1, 2982.2807188065276
5, 13, 1, 0, 2356.527537232945
5, 13, 1, 1, 1623.5889807024823
5, 14, 0, 0, 2895.3562327395025
5, 14, 0, 1, 2946.647177888216
5, 14, 1, 0, 2282.7905373108047
5, 14, 1, 1, 1392.1586947194785
